Name,Index Year,Overall Score,Property Rights,Government Integrity,Judicial Effectiveness,Tax Burden,Government Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom,Financial Freedom
Afghanistan,2000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Albania,2000,53.6,30.0,10.0,N/A,80.2,74.8,N/A,70.0,N/A,59.7,57.8,70.0,30.0
Algeria,2000,56.8,50.0,50.0,N/A,64.7,63.3,N/A,70.0,N/A,74.0,39.6,50.0,50.0
Angola,2000,24.3,30.0,10.0,N/A,53.4,0.0,N/A,40.0,N/A,0.0,25.0,30.0,30.0
Argentina,2000,70.0,70.0,30.0,N/A,74.0,79.7,N/A,85.0,N/A,89.6,62.0,70.0,70.0
Armenia,2000,63.0,50.0,30.0,N/A,79.3,86.8,N/A,55.0,N/A,69.1,77.0,50.0,70.0
Australia,2000,77.1,90.0,87.0,N/A,55.8,63.3,N/A,70.0,N/A,89.0,79.0,70.0,90.0
Austria,2000,68.4,90.0,75.0,N/A,44.2,25.0,N/A,70.0,N/A,88.4,83.0,70.0,70.0
Azerbaijan,2000,49.8,30.0,30.0,N/A,71.3,76.5,N/A,55.0,N/A,70.7,55.0,30.0,30.0
Bahrain,2000,75.7,60.0,70.0,N/A,99.6,79.7,N/A,85.0,N/A,89.2,77.6,50.0,70.0
"Bangladesh ",2000,48.9,30.0,23.0,N/A,77.2,90.3,N/A,40.0,N/A,68.1,32.0,50.0,30.0
Barbados,2000,69.5,70.0,70.0,N/A,58.6,67.3,N/A,70.0,N/A,88.0,62.0,70.0,70.0
Belarus,2000,41.3,30.0,39.0,N/A,58.3,39.3,N/A,55.0,N/A,32.5,57.6,30.0,30.0
Belgium,2000,63.5,90.0,54.0,N/A,33.1,18.9,N/A,70.0,N/A,87.9,77.8,70.0,70.0
Belize,2000,63.3,50.0,50.0,N/A,58.9,74.8,N/A,70.0,N/A,92.0,53.8,70.0,50.0
Benin,2000,61.5,50.0,30.0,N/A,71.5,97.6,N/A,70.0,N/A,75.6,59.0,50.0,50.0
Bhutan,2000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bolivia,2000,65.0,50.0,28.0,N/A,89.0,65.3,N/A,55.0,N/A,82.8,75.2,70.0,70.0
Bosnia and Herzegovina,2000,45.1,10.0,10.0,N/A,82.0,52.0,N/A,40.0,N/A,83.3,69.0,30.0,30.0
Botswana,2000,65.8,70.0,61.0,N/A,77.8,54.4,N/A,70.0,N/A,77.7,61.0,50.0,70.0
Brazil,2000,61.1,50.0,40.0,N/A,87.2,71.2,N/A,70.0,N/A,80.5,51.0,50.0,50.0
Bulgaria,2000,47.3,50.0,29.0,N/A,67.9,54.4,N/A,55.0,N/A,0.0,49.8,70.0,50.0
Burkina Faso,2000,55.7,50.0,10.0,N/A,69.2,85.5,N/A,55.0,N/A,76.6,55.0,70.0,30.0
Burma,2000,47.9,30.0,10.0,N/A,81.8,97.0,N/A,40.0,N/A,43.6,69.0,30.0,30.0
Burundi,2000,42.6,30.0,10.0,N/A,44.8,83.3,N/A,55.0,N/A,57.9,42.2,30.0,30.0
Cabo Verde,2000,51.9,70.0,30.0,N/A,65.0,52.0,N/A,55.0,N/A,70.1,45.0,70.0,10.0
Cambodia,2000,59.3,30.0,30.0,N/A,91.6,91.3,N/A,55.0,N/A,67.7,68.0,50.0,50.0
Cameroon,2000,49.9,30.0,14.0,N/A,50.6,94.1,N/A,55.0,N/A,77.5,47.8,50.0,30.0
Canada,2000,70.5,90.0,92.0,N/A,40.0,41.9,N/A,85.0,N/A,88.1,77.4,50.0,70.0
Central African Republic,2000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Chad,2000,46.8,30.0,10.0,N/A,45.9,84.1,N/A,55.0,N/A,70.5,65.2,30.0,30.0
