Name,Index Year,Overall Score,Property Rights,Government Integrity,Judicial Effectiveness,Tax Burden,Government Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom,Financial Freedom
Afghanistan,1998,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Albania,1998,53.9,30.0,10.0,N/A,82.1,66.5,N/A,70.0,N/A,67.7,59.0,70.0,30.0
Algeria,1998,55.8,50.0,50.0,N/A,48.6,69.3,N/A,70.0,N/A,60.1,54.2,50.0,50.0
Angola,1998,24.9,30.0,10.0,N/A,59.1,0.0,N/A,40.0,N/A,0.0,25.0,30.0,30.0
Argentina,1998,70.9,70.0,34.0,N/A,77.7,83.3,N/A,85.0,N/A,87.7,60.0,70.0,70.0
Armenia,1998,49.6,50.0,30.0,N/A,80.9,75.1,N/A,55.0,N/A,0.0,75.0,30.0,50.0
Australia,1998,75.6,90.0,86.0,N/A,56.1,54.8,N/A,70.0,N/A,84.0,79.4,70.0,90.0
Austria,1998,65.4,90.0,76.0,N/A,46.5,1.5,N/A,70.0,N/A,86.0,78.4,70.0,70.0
Azerbaijan,1998,43.1,30.0,30.0,N/A,70.3,87.9,N/A,55.0,N/A,0.0,55.0,30.0,30.0
Bahrain,1998,75.6,60.0,70.0,N/A,99.4,78.1,N/A,85.0,N/A,89.6,78.4,50.0,70.0
"Bangladesh ",1998,52.0,30.0,23.0,N/A,73.0,93.5,N/A,40.0,N/A,71.1,38.0,50.0,50.0
Barbados,1998,67.9,70.0,50.0,N/A,60.3,73.0,N/A,70.0,N/A,85.9,62.0,70.0,70.0
Belarus,1998,38.0,30.0,10.0,N/A,43.4,44.5,N/A,55.0,N/A,0.0,79.0,30.0,50.0
Belgium,1998,64.7,90.0,68.0,N/A,33.7,16.4,N/A,70.0,N/A,86.1,77.8,70.0,70.0
Belize,1998,59.1,50.0,50.0,N/A,63.7,64.7,N/A,70.0,N/A,80.6,33.0,70.0,50.0
Benin,1998,61.7,50.0,50.0,N/A,71.8,85.3,N/A,70.0,N/A,69.7,58.8,50.0,50.0
Bhutan,1998,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bolivia,1998,68.8,70.0,34.0,N/A,89.1,77.5,N/A,55.0,N/A,78.6,74.8,70.0,70.0
Bosnia and Herzegovina,1998,29.4,10.0,10.0,N/A,78.8,16.7,N/A,40.0,N/A,0.0,69.4,30.0,10.0
Botswana,1998,62.8,70.0,30.0,N/A,76.6,63.0,N/A,70.0,N/A,74.8,61.0,50.0,70.0
Brazil,1998,52.3,50.0,30.0,N/A,88.6,74.4,N/A,70.0,N/A,0.0,57.8,50.0,50.0
Bulgaria,1998,45.7,50.0,30.0,N/A,53.5,48.8,N/A,55.0,N/A,25.2,49.0,50.0,50.0
Burkina Faso,1998,54.5,50.0,10.0,N/A,66.3,86.9,N/A,55.0,N/A,66.9,55.0,70.0,30.0
Burma,1998,45.7,30.0,10.0,N/A,81.9,84.3,N/A,40.0,N/A,55.0,50.0,30.0,30.0
Burundi,1998,44.7,30.0,10.0,N/A,43.7,79.6,N/A,55.0,N/A,54.2,70.2,30.0,30.0
Cabo Verde,1998,48.0,70.0,30.0,N/A,63.5,19.8,N/A,55.0,N/A,69.0,45.0,70.0,10.0
Cambodia,1998,59.8,30.0,30.0,N/A,91.6,91.6,N/A,55.0,N/A,72.0,68.0,50.0,50.0
Cameroon,1998,48.0,30.0,25.0,N/A,50.9,92.2,N/A,55.0,N/A,70.1,29.0,50.0,30.0
Canada,1998,68.5,90.0,90.0,N/A,38.1,29.4,N/A,85.0,N/A,86.9,77.0,50.0,70.0
