Name,Index Year,Overall Score,Property Rights,Government Integrity,Judicial Effectiveness,Tax Burden,Government Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom,Financial Freedom
Liechtenstein,2001,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Lithuania,2001,65.5,50.0,38.0,N/A,71.0,73.0,N/A,70.0,N/A,84.8,82.8,70.0,50.0
Luxembourg,2001,80.1,90.0,88.0,N/A,52.5,58.9,N/A,85.0,N/A,88.6,78.0,90.0,90.0
Macau,2001,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Macedonia,2001,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Madagascar,2001,53.9,50.0,30.0,N/A,74.5,84.1,N/A,70.0,N/A,76.5,0.0,50.0,50.0
Malawi,2001,56.2,50.0,41.0,N/A,70.9,73.0,N/A,55.0,N/A,51.0,64.8,50.0,50.0
"Malaysia ",2001,60.2,50.0,51.0,N/A,80.6,85.5,N/A,70.0,N/A,78.4,66.0,30.0,30.0
Maldives,2001,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mali,2001,60.1,50.0,10.0,N/A,60.8,81.3,N/A,70.0,N/A,87.6,61.0,70.0,50.0
Malta,2001,62.9,90.0,30.0,N/A,65.7,41.9,N/A,70.0,N/A,74.5,73.6,50.0,70.0
Mauritania,2001,48.5,30.0,30.0,N/A,51.3,79.7,N/A,55.0,N/A,75.7,35.0,50.0,30.0
Mauritius,2001,66.4,70.0,49.0,N/A,75.9,84.1,N/A,70.0,N/A,68.4,60.2,50.0,70.0
Mexico,2001,60.6,50.0,34.0,N/A,69.0,85.5,N/A,55.0,N/A,69.1,83.0,50.0,50.0
Micronesia,2001,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Moldova,2001,54.9,50.0,26.0,N/A,54.5,76.5,N/A,55.0,N/A,55.9,76.4,50.0,50.0
Mongolia,2001,56.0,50.0,43.0,N/A,64.5,47.1,N/A,55.0,N/A,69.6,75.0,50.0,50.0
Montenegro,2001,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Morocco,2001,63.9,50.0,41.0,N/A,62.3,82.7,N/A,70.0,N/A,87.9,61.0,70.0,50.0
"Mozambique ",2001,59.2,30.0,35.0,N/A,82.6,85.5,N/A,55.0,N/A,79.7,65.0,50.0,50.0
Namibia,2001,64.8,70.0,53.0,N/A,63.1,69.3,N/A,70.0,N/A,77.1,61.0,70.0,50.0
Nepal,2001,51.6,30.0,10.0,N/A,84.0,88.0,N/A,55.0,N/A,69.8,67.8,30.0,30.0
Netherlands,2001,73.0,90.0,90.0,N/A,38.4,25.0,N/A,70.0,N/A,85.7,78.0,90.0,90.0
New Zealand,2001,81.1,90.0,94.0,N/A,62.5,49.6,N/A,85.0,N/A,91.2,78.0,90.0,90.0
"Nicaragua ",2001,58.0,30.0,31.0,N/A,80.8,71.2,N/A,55.0,N/A,68.6,65.6,70.0,50.0
Niger,2001,48.9,30.0,10.0,N/A,45.8,91.3,N/A,55.0,N/A,87.4,61.0,30.0,30.0
Nigeria,2001,49.6,30.0,16.0,N/A,84.4,74.8,N/A,55.0,N/A,78.9,27.0,50.0,30.0
North Korea,2001,8.9,10.0,10.0,N/A,0.0,0.0,N/A,40.0,N/A,0.0,0.0,10.0,10.0
Norway,2001,67.1,90.0,89.0,N/A,56.7,36.5,N/A,70.0,N/A,80.3,81.0,50.0,50.0
Oman,2001,67.7,50.0,70.0,N/A,98.5,67.3,N/A,70.0,N/A,94.0,79.4,30.0,50.0
"Pakistan ",2001,56.0,30.0,22.0,N/A,82.0,90.3,N/A,55.0,N/A,75.5,49.4,50.0,50.0
"Panama ",2001,70.6,50.0,50.0,N/A,81.0,74.8,N/A,70.0,N/A,88.3,61.0,70.0,90.0
Papua New Guinea,2001,57.2,50.0,50.0,N/A,52.9,73.5,N/A,55.0,N/A,87.9,45.2,50.0,50.0
"Paraguay ",2001,60.3,30.0,20.0,N/A,89.7,90.3,N/A,55.0,N/A,72.1,65.8,70.0,50.0
Peru,2001,69.6,50.0,46.0,N/A,80.1,92.3,N/A,70.0,N/A,81.0,66.6,70.0,70.0
Philippines,2001,60.9,50.0,36.0,N/A,77.3,88.0,N/A,55.0,N/A,73.6,68.4,50.0,50.0
Poland,2001,61.8,70.0,42.0,N/A,61.3,44.5,N/A,70.0,N/A,70.9,77.6,70.0,50.0
Portugal,2001,66.0,70.0,67.0,N/A,61.6,41.9,N/A,70.0,N/A,85.2,78.0,70.0,50.0
Qatar,2001,60.0,50.0,70.0,N/A,87.5,47.1,N/A,55.0,N/A,75.2,75.0,50.0,30.0
"Republic of Congo ",2001,44.3,30.0,10.0,N/A,54.3,89.2,N/A,55.0,N/A,74.9,25.0,30.0,30.0
Romania,2001,50.0,30.0,33.0,N/A,57.6,79.7,N/A,55.0,N/A,41.4,73.4,50.0,30.0
Russia,2001,49.8,50.0,24.0,N/A,74.7,73.0,N/A,55.0,N/A,38.9,52.2,50.0,30.0
Rwanda,2001,45.4,10.0,10.0,N/A,67.0,95.7,N/A,40.0,N/A,83.7,62.4,30.0,10.0
Saint Lucia,2001,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Saint Vincent and the Grenadines,2001,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Samoa,2001,63.1,50.0,70.0,N/A,75.5,48.8,N/A,70.0,N/A,91.2,62.0,50.0,50.0
"São Tomé and Príncipe ",2001,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Saudi Arabia,2001,62.2,50.0,70.0,N/A,99.4,65.3,N/A,70.0,N/A,83.8,61.0,30.0,30.0
Senegal,2001,58.7,50.0,34.0,N/A,60.2,89.2,N/A,55.0,N/A,78.8,61.0,50.0,50.0
"Serbia ",2001,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Seychelles,2001,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sierra Leone,2001,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Singapore,2001,87.8,90.0,91.0,N/A,83.1,90.3,N/A,100.0,N/A,92.9,83.0,90.0,70.0
Slovakia,2001,58.5,50.0,37.0,N/A,59.3,39.3,N/A,70.0,N/A,70.8,80.2,70.0,50.0
Slovenia,2001,61.8,70.0,60.0,N/A,52.8,47.1,N/A,85.0,N/A,73.6,67.4,50.0,50.0
Solomon Islands,2001,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
South Africa,2001,63.8,50.0,50.0,N/A,65.0,78.1,N/A,70.0,N/A,79.6,61.0,70.0,50.0
South Korea,2001,69.1,90.0,38.0,N/A,71.7,79.7,N/A,70.0,N/A,84.5,67.8,70.0,50.0
Spain,2001,68.1,70.0,66.0,N/A,53.8,54.4,N/A,70.0,N/A,80.7,78.0,70.0,70.0
Sri Lanka,2001,66.0,70.0,50.0,N/A,73.4,81.3,N/A,70.0,N/A,79.1,70.2,50.0,50.0
Sudan,2001,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Suriname,2001,44.3,50.0,10.0,N/A,63.8,78.1,N/A,55.0,N/A,36.7,25.0,50.0,30.0
Sweden,2001,66.6,90.0,94.0,N/A,33.7,2.5,N/A,70.0,N/A,91.4,78.0,70.0,70.0
Switzerland,2001,76.0,90.0,89.0,N/A,80.1,22.0,N/A,70.0,N/A,90.2,83.0,70.0,90.0
Syria,2001,36.6,30.0,10.0,N/A,39.2,65.3,N/A,55.0,N/A,74.9,15.0,30.0,10.0
Taiwan,2001,72.8,90.0,56.0,N/A,75.3,79.7,N/A,85.0,N/A,90.0,78.8,50.0,50.0
