Name,Index Year,Overall Score,Property Rights,Government Integrity,Judicial Effectiveness,Tax Burden,Government Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom,Financial Freedom
Afghanistan,1999,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Albania,1999,53.4,30.0,10.0,N/A,82.9,72.5,N/A,70.0,N/A,57.8,57.8,70.0,30.0
Algeria,1999,57.2,50.0,50.0,N/A,48.7,72.8,N/A,70.0,N/A,69.0,54.2,50.0,50.0
Angola,1999,23.7,30.0,10.0,N/A,47.9,0.0,N/A,40.0,N/A,0.0,25.0,30.0,30.0
Argentina,1999,70.6,70.0,28.0,N/A,77.6,83.9,N/A,85.0,N/A,89.8,61.2,70.0,70.0
Armenia,1999,56.4,50.0,30.0,N/A,80.3,82.1,N/A,55.0,N/A,55.5,75.0,30.0,50.0
Australia,1999,76.4,90.0,89.0,N/A,55.7,56.0,N/A,70.0,N/A,87.9,79.4,70.0,90.0
Austria,1999,64.0,90.0,76.0,N/A,45.5,3.2,N/A,70.0,N/A,87.2,63.6,70.0,70.0
Azerbaijan,1999,47.4,30.0,30.0,N/A,71.6,87.5,N/A,55.0,N/A,37.8,55.0,30.0,30.0
Bahrain,1999,75.2,60.0,70.0,N/A,99.4,80.8,N/A,85.0,N/A,83.5,78.4,50.0,70.0
"Bangladesh ",1999,50.0,30.0,23.0,N/A,77.2,94.5,N/A,40.0,N/A,71.0,34.0,50.0,30.0
Barbados,1999,66.7,70.0,50.0,N/A,60.3,67.9,N/A,70.0,N/A,79.6,62.0,70.0,70.0
Belarus,1999,35.4,30.0,10.0,N/A,44.9,45.3,N/A,55.0,N/A,15.9,57.6,30.0,30.0
Belgium,1999,62.9,90.0,53.0,N/A,33.5,15.7,N/A,70.0,N/A,86.7,77.8,70.0,70.0
Belize,1999,60.7,50.0,50.0,N/A,63.6,74.9,N/A,70.0,N/A,85.0,33.0,70.0,50.0
Benin,1999,60.6,50.0,30.0,N/A,71.7,88.6,N/A,70.0,N/A,76.1,59.0,50.0,50.0
Bhutan,1999,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bolivia,1999,65.6,50.0,21.0,N/A,88.9,77.8,N/A,55.0,N/A,83.2,74.8,70.0,70.0
Bosnia and Herzegovina,1999,29.4,10.0,10.0,N/A,78.8,16.7,N/A,40.0,N/A,0.0,69.4,30.0,10.0
Botswana,1999,62.9,70.0,30.0,N/A,80.3,59.4,N/A,70.0,N/A,75.8,61.0,50.0,70.0
Brazil,1999,61.3,50.0,36.0,N/A,88.7,79.2,N/A,70.0,N/A,71.0,57.4,50.0,50.0
Bulgaria,1999,46.2,50.0,30.0,N/A,68.0,46.3,N/A,55.0,N/A,0.0,46.8,70.0,50.0
Burkina Faso,1999,55.0,50.0,10.0,N/A,66.1,86.4,N/A,55.0,N/A,72.8,55.0,70.0,30.0
Burma,1999,46.4,30.0,10.0,N/A,81.9,95.0,N/A,40.0,N/A,50.3,50.0,30.0,30.0
Burundi,1999,41.1,30.0,10.0,N/A,44.7,76.6,N/A,55.0,N/A,51.0,42.2,30.0,30.0
Cabo Verde,1999,50.7,70.0,30.0,N/A,64.7,44.8,N/A,55.0,N/A,67.2,45.0,70.0,10.0
Cambodia,1999,59.9,30.0,30.0,N/A,91.6,92.0,N/A,55.0,N/A,72.2,68.0,50.0,50.0
Cameroon,1999,50.3,30.0,25.0,N/A,50.9,92.2,N/A,55.0,N/A,74.6,45.0,50.0,30.0
Canada,1999,69.3,90.0,91.0,N/A,39.2,34.9,N/A,85.0,N/A,86.9,77.0,50.0,70.0
Central African Republic,1999,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Chad,1999,47.2,30.0,10.0,N/A,46.0,90.0,N/A,55.0,N/A,68.3,65.2,30.0,30.0
Chile,1999,74.1,90.0,61.0,N/A,73.0,87.1,N/A,85.0,N/A,78.7,73.0,70.0,50.0
China,1999,54.8,30.0,29.0,N/A,70.5,95.1,N/A,55.0,N/A,75.2,38.2,50.0,50.0
Colombia,1999,65.3,50.0,22.0,N/A,75.9,98.9,N/A,70.0,N/A,67.3,63.2,70.0,70.0
Comoros,1999,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Costa Rica ",1999,67.4,50.0,65.0,N/A,83.2,85.9,N/A,70.0,N/A,70.4,63.0,70.0,50.0
