Name,Index Year,Overall Score,Property Rights,Government Integrity,Judicial Effectiveness,Tax Burden,Government Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom,Financial Freedom
Afghanistan,2006,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Albania,2006,60.3,30.0,25.0,N/A,81.2,75.6,N/A,54.3,50.2,84.5,62.4,70.0,70.0
Algeria,2006,55.7,30.0,27.0,N/A,73.9,74.4,N/A,74.8,57.4,78.8,61.0,50.0,30.0
Angola,2006,43.5,30.0,20.0,N/A,84.9,40.1,N/A,26.8,44.9,40.3,68.0,30.0,50.0
Argentina,2006,53.4,30.0,25.0,N/A,71.5,81.5,N/A,62.9,44.4,71.5,67.4,50.0,30.0
Armenia,2006,70.6,50.0,31.0,N/A,90.0,90.7,N/A,77.6,65.3,80.6,80.6,70.0,70.0
Australia,2006,79.9,90.0,88.0,N/A,58.9,62.2,N/A,90.9,86.5,85.0,77.4,70.0,90.0
Austria,2006,71.1,90.0,84.0,N/A,50.2,23.2,N/A,82.0,72.7,86.4,82.4,70.0,70.0
Azerbaijan,2006,53.2,30.0,19.0,N/A,80.0,77.8,N/A,56.7,60.4,75.5,72.6,30.0,30.0
Bahrain,2006,71.6,70.0,58.0,N/A,99.4,73.2,N/A,80.0,40.0,86.3,69.6,50.0,90.0
"Bangladesh ",2006,52.9,30.0,15.0,N/A,84.1,94.4,N/A,58.2,64.2,74.9,48.2,30.0,30.0
Barbados,2006,71.9,90.0,73.0,N/A,67.4,58.7,N/A,90.0,80.0,87.7,52.0,50.0,70.0
Belarus,2006,47.5,30.0,33.0,N/A,78.9,33.2,N/A,54.4,68.2,49.8,67.2,30.0,30.0
Belgium,2006,71.8,90.0,75.0,N/A,42.8,26.8,N/A,90.7,68.4,81.5,82.4,90.0,70.0
Belize,2006,64.7,50.0,38.0,N/A,83.9,71.5,N/A,77.4,83.8,84.2,58.4,50.0,50.0
Benin,2006,54.0,30.0,32.0,N/A,67.3,86.6,N/A,48.0,53.4,83.1,59.6,30.0,50.0
Bhutan,2006,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bolivia,2006,57.8,30.0,22.0,N/A,90.4,68.1,N/A,60.9,49.2,82.6,74.4,30.0,70.0
Bosnia and Herzegovina,2006,55.6,10.0,31.0,N/A,75.1,47.8,N/A,55.7,54.9,86.1,75.2,50.0,70.0
Botswana,2006,68.8,70.0,60.0,N/A,73.9,50.5,N/A,69.6,68.9,77.6,77.8,70.0,70.0
Brazil,2006,60.9,50.0,39.0,N/A,83.8,71.7,N/A,53.5,66.1,76.3,69.0,50.0,50.0
Bulgaria,2006,64.1,30.0,41.0,N/A,83.2,49.8,N/A,70.5,79.8,80.7,65.8,70.0,70.0
Burkina Faso,2006,55.8,30.0,30.0,N/A,77.6,87.3,N/A,39.2,45.7,85.9,62.2,50.0,50.0
Burma,2006,40.0,10.0,17.0,N/A,81.9,97.3,N/A,20.0,20.0,61.4,72.2,10.0,10.0
Burundi,2006,48.7,30.0,30.0,N/A,70.1,62.6,N/A,37.0,53.7,67.3,56.0,50.0,30.0
Cabo Verde,2006,58.6,70.0,30.0,N/A,77.1,71.0,N/A,55.7,57.0,89.3,36.2,50.0,50.0
Cambodia,2006,56.7,30.0,10.0,N/A,91.3,90.9,N/A,43.0,44.2,83.7,53.4,50.0,70.0
Cameroon,2006,54.6,30.0,21.0,N/A,69.4,93.0,N/A,40.3,53.3,83.9,54.8,50.0,50.0
Canada,2006,77.4,90.0,85.0,N/A,75.3,53.4,N/A,96.9,84.2,85.9,83.2,50.0,70.0
Central African Republic,2006,54.2,30.0,30.0,N/A,58.8,95.0,N/A,42.1,49.7,87.3,49.2,50.0,50.0
Chad,2006,50.0,30.0,17.0,N/A,49.8,85.2,N/A,34.0,43.6,83.0,57.0,50.0,50.0
Chile,2006,78.0,90.0,74.0,N/A,78.6,87.5,N/A,68.1,77.5,86.9,77.6,70.0,70.0
China,2006,53.6,30.0,34.0,N/A,70.0,86.0,N/A,43.1,65.2,79.4,68.0,30.0,30.0
Colombia,2006,60.4,30.0,38.0,N/A,66.6,68.3,N/A,72.1,63.8,79.2,65.8,50.0,70.0
Comoros,2006,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Costa Rica ",2006,65.9,50.0,49.0,N/A,83.0,85.2,N/A,59.4,61.2,73.7,77.4,70.0,50.0
"Côte d'Ivoire ",2006,56.2,30.0,20.0,N/A,52.2,88.4,N/A,46.4,60.3,80.9,63.6,50.0,70.0
Croatia,2006,53.6,30.0,35.0,N/A,69.6,23.2,N/A,54.5,44.6,81.2,78.4,50.0,70.0
