Name,Index Year,Overall Score,Property Rights,Government Integrity,Judicial Effectiveness,Tax Burden,Government Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom,Financial Freedom
Afghanistan,2005,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Albania,2005,57.8,30.0,25.0,N/A,83.3,71.0,N/A,55.0,49.0,85.0,60.2,70.0,50.0
Algeria,2005,53.2,30.0,26.0,N/A,73.9,61.8,N/A,70.0,55.9,80.1,54.4,50.0,30.0
Angola,2005,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Argentina,2005,51.7,30.0,25.0,N/A,72.7,73.7,N/A,70.0,43.9,65.4,56.2,50.0,30.0
Armenia,2005,69.8,50.0,30.0,N/A,89.9,88.9,N/A,55.0,62.1,82.0,80.0,70.0,90.0
Australia,2005,79.0,90.0,88.0,N/A,59.1,60.9,N/A,85.0,85.8,84.0,77.2,70.0,90.0
Austria,2005,68.8,90.0,80.0,N/A,44.4,22.6,N/A,70.0,73.6,87.0,80.2,70.0,70.0
Azerbaijan,2005,54.4,30.0,18.0,N/A,79.2,87.0,N/A,55.0,64.8,80.4,69.2,30.0,30.0
Bahrain,2005,71.2,70.0,61.0,N/A,99.5,68.1,N/A,85.0,40.0,89.0,69.6,50.0,80.0
"Bangladesh ",2005,47.5,30.0,13.0,N/A,84.1,93.4,N/A,40.0,64.1,76.3,34.0,30.0,10.0
Barbados,2005,70.1,90.0,70.0,N/A,60.6,56.0,N/A,85.0,80.0,87.7,52.0,50.0,70.0
Belarus,2005,46.7,30.0,42.0,N/A,76.2,35.4,N/A,40.0,72.0,42.7,69.0,30.0,30.0
Belgium,2005,69.0,90.0,76.0,N/A,42.1,22.0,N/A,70.0,68.0,81.8,80.2,90.0,70.0
Belize,2005,64.5,50.0,45.0,N/A,83.9,68.9,N/A,70.0,83.3,85.2,58.4,50.0,50.0
Benin,2005,52.3,30.0,30.0,N/A,52.2,88.5,N/A,55.0,52.6,81.1,54.0,30.0,50.0
Bhutan,2005,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bolivia,2005,58.4,30.0,23.0,N/A,88.9,66.7,N/A,55.0,47.7,84.9,67.4,50.0,70.0
Bosnia and Herzegovina,2005,48.8,10.0,33.0,N/A,70.1,23.8,N/A,40.0,54.8,84.5,71.8,30.0,70.0
Botswana,2005,69.3,70.0,57.0,N/A,75.6,45.0,N/A,85.0,66.6,76.4,77.8,70.0,70.0
Brazil,2005,61.7,50.0,39.0,N/A,86.2,69.9,N/A,70.0,64.6,72.7,65.2,50.0,50.0
Bulgaria,2005,62.3,30.0,39.0,N/A,80.3,53.4,N/A,55.0,80.3,83.1,82.0,50.0,70.0
Burkina Faso,2005,56.6,30.0,30.0,N/A,77.6,86.4,N/A,55.0,43.8,80.4,62.6,50.0,50.0
Burma,2005,40.5,10.0,16.0,N/A,82.0,97.8,N/A,40.0,20.0,48.2,70.8,10.0,10.0
Burundi,2005,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cabo Verde,2005,57.8,50.0,30.0,N/A,81.2,64.5,N/A,85.0,56.9,87.1,23.0,50.0,50.0
Cambodia,2005,60.0,30.0,30.0,N/A,91.3,90.4,N/A,55.0,43.9,87.0,52.0,50.0,70.0
Cameroon,2005,53.0,30.0,18.0,N/A,69.0,92.2,N/A,55.0,52.0,80.6,53.4,50.0,30.0
Canada,2005,75.8,90.0,87.0,N/A,75.1,50.8,N/A,85.0,82.2,84.7,82.8,50.0,70.0
Central African Republic,2005,56.5,30.0,30.0,N/A,65.3,92.4,N/A,55.0,49.7,77.6,45.0,70.0,50.0
Chad,2005,52.1,30.0,10.0,N/A,50.2,87.9,N/A,55.0,43.3,88.1,56.6,50.0,50.0
Chile,2005,77.8,90.0,74.0,N/A,78.3,84.8,N/A,70.0,77.3,84.4,79.2,70.0,70.0
China,2005,53.7,30.0,34.0,N/A,67.9,86.0,N/A,55.0,65.0,84.8,54.4,30.0,30.0
Colombia,2005,59.6,30.0,37.0,N/A,66.7,66.3,N/A,70.0,62.8,78.3,64.8,50.0,70.0
Comoros,2005,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Costa Rica ",2005,66.1,50.0,43.0,N/A,83.0,84.7,N/A,70.0,61.1,75.5,73.4,70.0,50.0
"Côte d'Ivoire ",2005,56.6,30.0,21.0,N/A,52.0,88.6,N/A,55.0,59.9,78.4,61.0,50.0,70.0
Croatia,2005,51.9,30.0,37.0,N/A,59.3,26.2,N/A,55.0,44.3,81.4,65.4,50.0,70.0
Cuba,2005,35.5,10.0,46.0,N/A,46.7,5.9,N/A,55.0,20.0,70.6,61.2,30.0,10.0
Cyprus,2005,71.9,90.0,61.0,N/A,79.0,57.4,N/A,85.0,70.0,83.0,73.6,50.0,70.0
Czech Republic,2005,64.6,70.0,39.0,N/A,68.2,15.1,N/A,70.0,57.7,88.9,76.8,70.0,90.0
Democratic Republic of Congo,2005,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Denmark,2005,75.3,90.0,95.0,N/A,33.9,8.3,N/A,100.0,99.9,85.6,80.2,70.0,90.0
Djibouti,2005,55.2,30.0,30.0,N/A,80.3,67.5,N/A,55.0,59.7,86.9,43.0,50.0,50.0
Dominica,2005,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dominican Republic,2005,55.1,30.0,33.0,N/A,84.9,89.7,N/A,55.0,56.9,56.5,64.8,50.0,30.0
Ecuador,2005,52.9,30.0,22.0,N/A,85.0,84.5,N/A,55.0,39.8,68.3,64.0,30.0,50.0
Egypt,2005,55.8,50.0,33.0,N/A,66.1,78.6,N/A,55.0,59.7,77.6,58.2,50.0,30.0
"El Salvador ",2005,71.5,50.0,37.0,N/A,83.5,92.7,N/A,85.0,68.1,85.6,72.8,70.0,70.0
Equatorial Guinea,2005,53.3,30.0,10.0,N/A,92.7,93.3,N/A,55.0,47.4,67.3,57.0,30.0,50.0
Eritrea,2005,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Estonia,2005,75.2,70.0,55.0,N/A,82.9,61.6,N/A,85.0,47.4,85.5,84.8,90.0,90.0
Eswatini,2005,59.4,50.0,30.0,N/A,74.4,70.8,N/A,70.0,69.2,71.6,77.8,30.0,50.0
Ethiopia,2005,51.1,30.0,25.0,N/A,73.5,65.3,N/A,55.0,61.6,68.5,52.0,50.0,30.0
Fiji,2005,58.2,30.0,30.0,N/A,78.5,71.5,N/A,70.0,83.6,78.4,60.2,30.0,50.0
Finland,2005,71.0,90.0,97.0,N/A,58.0,22.3,N/A,85.0,49.9,88.0,80.2,70.0,70.0
France,2005,60.5,70.0,69.0,N/A,44.8,10.9,N/A,70.0,54.3,86.0,80.2,70.0,50.0
Gabon,2005,54.8,50.0,30.0,N/A,61.2,76.1,N/A,55.0,60.2,81.9,53.4,50.0,30.0
Georgia,2005,57.1,30.0,18.0,N/A,89.9,90.5,N/A,55.0,66.8,75.9,65.2,30.0,50.0
Germany,2005,68.1,90.0,77.0,N/A,58.4,28.6,N/A,70.0,48.7,88.1,80.2,90.0,50.0
Ghana,2005,56.5,50.0,33.0,N/A,77.4,79.6,N/A,70.0,50.2,58.8,66.0,50.0,30.0
Greece,2005,59.0,50.0,43.0,N/A,58.0,54.4,N/A,70.0,56.1,78.1,80.2,50.0,50.0
"Guatemala ",2005,59.5,30.0,24.0,N/A,77.0,95.4,N/A,55.0,60.6,79.1,73.4,30.0,70.0
Guinea,2005,57.4,30.0,25.0,N/A,71.0,90.0,N/A,55.0,70.5,75.2,57.2,30.0,70.0
Guinea-Bissau,2005,46.0,10.0,10.0,N/A,83.0,65.9,N/A,40.0,51.6,83.0,56.4,50.0,10.0
Guyana,2005,56.5,50.0,30.0,N/A,60.3,43.0,N/A,55.0,62.5,80.1,63.8,50.0,70.0
Haiti,2005,48.4,10.0,15.0,N/A,78.1,96.3,N/A,40.0,61.9,55.4,67.0,30.0,30.0
"Honduras ",2005,55.3,30.0,23.0,N/A,82.2,75.3,N/A,55.0,44.7,72.2,70.4,30.0,70.0
Hong Kong,2005,89.5,90.0,80.0,N/A,93.6,89.7,N/A,100.0,86.5,85.1,90.0,90.0,90.0
"Hungary ",2005,63.5,70.0,48.0,N/A,67.9,25.6,N/A,70.0,68.2,75.6,70.0,70.0,70.0
Iceland,2005,76.6,90.0,96.0,N/A,72.5,30.9,N/A,85.0,64.6,88.6,78.2,70.0,90.0
India,2005,54.2,50.0,28.0,N/A,75.6,76.3,N/A,55.0,61.7,77.4,38.0,50.0,30.0
Indonesia,2005,52.9,30.0,19.0,N/A,77.5,90.0,N/A,55.0,49.1,71.7,77.2,30.0,30.0
Iran,2005,50.5,10.0,30.0,N/A,81.2,88.0,N/A,40.0,76.4,60.1,78.8,30.0,10.0
Iraq,2005,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ireland,2005,80.8,90.0,75.0,N/A,72.6,64.5,N/A,85.0,78.2,82.5,80.2,90.0,90.0
Israel,2005,62.6,70.0,70.0,N/A,53.9,15.1,N/A,70.0,64.2,86.2,77.0,70.0,50.0
Italy,2005,64.9,70.0,53.0,N/A,49.6,27.4,N/A,70.0,74.5,84.7,80.2,70.0,70.0
"Jamaica ",2005,67.0,50.0,38.0,N/A,76.4,62.4,N/A,70.0,68.4,75.8,69.4,90.0,70.0
Japan,2005,67.3,70.0,70.0,N/A,70.7,57.6,N/A,70.0,83.3,90.6,80.6,50.0,30.0
Jordan,2005,66.7,50.0,46.0,N/A,79.2,63.5,N/A,70.0,73.9,81.8,62.4,70.0,70.0
Kazakhstan,2005,53.9,30.0,24.0,N/A,82.6,85.9,N/A,55.0,82.6,73.9,65.0,10.0,30.0
Kenya,2005,57.9,50.0,19.0,N/A,78.9,83.0,N/A,55.0,59.4,77.6,56.2,50.0,50.0
Kiribati,2005,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kuwait,2005,64.6,50.0,53.0,N/A,99.9,51.3,N/A,70.0,80.2,83.7,77.8,30.0,50.0
"Kyrgyz Republic ",2005,56.6,30.0,21.0,N/A,85.1,81.5,N/A,55.0,64.8,78.8,69.4,30.0,50.0
Laos,2005,44.4,10.0,10.0,N/A,70.9,89.8,N/A,40.0,61.3,61.6,60.6,30.0,10.0
Latvia,2005,66.3,50.0,38.0,N/A,83.6,52.7,N/A,70.0,63.5,84.8,80.0,70.0,70.0
Lebanon,2005,57.2,30.0,30.0,N/A,91.7,54.4,N/A,55.0,59.2,82.9,69.0,30.0,70.0
Lesotho,2005,53.9,50.0,30.0,N/A,63.9,38.4,N/A,55.0,71.9,71.5,77.8,30.0,50.0
Liberia,2005,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Libya,2005,32.8,10.0,21.0,N/A,47.1,49.8,N/A,40.0,20.0,66.4,53.2,10.0,10.0
Liechtenstein,2005,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Lithuania,2005,70.5,50.0,47.0,N/A,82.8,65.1,N/A,70.0,55.8,90.1,84.0,70.0,90.0
Luxembourg,2005,76.3,90.0,87.0,N/A,64.3,39.0,N/A,85.0,51.4,85.9,80.2,90.0,90.0
Macau,2005,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Macedonia,2005,56.1,30.0,23.0,N/A,83.6,49.6,N/A,55.0,56.2,86.6,57.4,50.0,70.0
Madagascar,2005,63.1,50.0,26.0,N/A,81.4,92.6,N/A,70.0,48.9,82.8,79.2,50.0,50.0
Malawi,2005,53.6,50.0,28.0,N/A,68.6,68.5,N/A,55.0,57.9,68.0,60.0,50.0,30.0
"Malaysia ",2005,61.9,50.0,52.0,N/A,80.9,75.3,N/A,70.0,72.0,82.8,75.8,30.0,30.0
Maldives,2005,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mali,2005,57.3,30.0,30.0,N/A,70.0,83.0,N/A,70.0,63.3,84.2,62.2,50.0,30.0
Malta,2005,68.9,90.0,50.0,N/A,62.2,40.3,N/A,85.0,60.0,85.7,75.8,50.0,90.0
Mauritania,2005,59.4,30.0,30.0,N/A,78.2,70.4,N/A,55.0,47.0,76.1,67.0,70.0,70.0
Mauritius,2005,67.2,70.0,44.0,N/A,84.5,82.0,N/A,70.0,76.4,71.4,53.4,50.0,70.0
Mexico,2005,65.2,50.0,36.0,N/A,74.9,83.7,N/A,70.0,61.4,81.1,75.2,50.0,70.0
Micronesia,2005,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Moldova,2005,57.4,50.0,24.0,N/A,84.5,68.5,N/A,55.0,64.8,70.0,77.2,30.0,50.0
Mongolia,2005,59.7,50.0,43.0,N/A,73.6,40.1,N/A,55.0,70.4,87.6,77.0,50.0,50.0
Montenegro,2005,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Morocco,2005,52.2,30.0,33.0,N/A,63.1,73.2,N/A,70.0,42.1,82.2,28.6,70.0,30.0
"Mozambique ",2005,54.6,30.0,27.0,N/A,80.9,65.7,N/A,55.0,35.2,66.4,66.2,70.0,50.0
Namibia,2005,61.4,30.0,47.0,N/A,67.8,63.3,N/A,70.0,86.6,71.7,77.8,50.0,50.0
Nepal,2005,51.4,30.0,10.0,N/A,86.6,91.3,N/A,55.0,47.5,77.2,56.4,30.0,30.0
Netherlands,2005,72.9,90.0,89.0,N/A,45.7,28.0,N/A,70.0,61.5,84.8,80.2,90.0,90.0
New Zealand,2005,82.3,90.0,95.0,N/A,61.7,55.3,N/A,85.0,91.1,85.8,79.4,90.0,90.0
"Nicaragua ",2005,62.5,30.0,26.0,N/A,82.9,82.4,N/A,55.0,72.9,75.8,80.4,50.0,70.0
Niger,2005,54.1,30.0,10.0,N/A,66.5,89.8,N/A,55.0,44.2,88.3,56.8,50.0,50.0
Nigeria,2005,48.4,30.0,14.0,N/A,84.0,48.6,N/A,55.0,73.2,66.2,53.4,30.0,30.0
North Korea,2005,8.0,10.0,10.0,N/A,0.0,0.0,N/A,40.0,0.0,0.0,0.0,10.0,10.0
Norway,2005,64.5,90.0,88.0,N/A,50.4,28.3,N/A,70.0,49.3,85.5,83.6,50.0,50.0
