Name,Index Year,Overall Score,Property Rights,Government Integrity,Judicial Effectiveness,Tax Burden,Government Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom,Financial Freedom
Afghanistan,2002,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Albania,2002,56.8,30.0,10.0,N/A,79.2,67.3,N/A,55.0,N/A,86.0,63.4,70.0,50.0
Algeria,2002,61.0,30.0,50.0,N/A,65.0,71.2,N/A,70.0,N/A,82.8,60.0,70.0,50.0
Angola,2002,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Argentina,2002,65.7,50.0,35.0,N/A,72.4,76.5,N/A,70.0,N/A,94.3,53.0,70.0,70.0
Armenia,2002,68.0,50.0,25.0,N/A,88.3,81.3,N/A,55.0,N/A,91.1,81.4,70.0,70.0
Australia,2002,77.3,90.0,83.0,N/A,56.4,61.1,N/A,85.0,N/A,83.3,77.4,70.0,90.0
Austria,2002,67.4,90.0,77.0,N/A,44.5,18.9,N/A,70.0,N/A,86.4,79.6,70.0,70.0
Azerbaijan,2002,53.3,30.0,15.0,N/A,78.4,88.0,N/A,55.0,N/A,78.8,74.4,30.0,30.0
Bahrain,2002,75.6,60.0,70.0,N/A,99.3,74.8,N/A,85.0,N/A,84.3,76.6,50.0,80.0
"Bangladesh ",2002,51.9,30.0,23.0,N/A,77.3,93.3,N/A,40.0,N/A,72.7,50.6,50.0,30.0
Barbados,2002,73.6,90.0,70.0,N/A,59.0,65.3,N/A,85.0,N/A,86.3,66.8,70.0,70.0
Belarus,2002,39.0,30.0,41.0,N/A,68.2,36.5,N/A,40.0,N/A,0.0,75.4,30.0,30.0
Belgium,2002,67.6,90.0,61.0,N/A,33.7,28.0,N/A,70.0,N/A,86.0,79.6,90.0,70.0
Belize,2002,65.6,50.0,50.0,N/A,84.5,74.8,N/A,70.0,N/A,94.0,66.8,50.0,50.0
Benin,2002,57.3,30.0,30.0,N/A,71.4,90.3,N/A,55.0,N/A,78.3,61.0,50.0,50.0
Bhutan,2002,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bolivia,2002,65.1,30.0,27.0,N/A,88.7,69.3,N/A,55.0,N/A,81.9,74.2,90.0,70.0
Bosnia and Herzegovina,2002,37.4,10.0,10.0,N/A,66.8,0.0,N/A,40.0,N/A,77.2,72.6,30.0,30.0
Botswana,2002,66.2,70.0,60.0,N/A,73.1,44.5,N/A,70.0,N/A,76.9,61.0,70.0,70.0
Brazil,2002,61.5,50.0,39.0,N/A,86.3,71.2,N/A,70.0,N/A,79.3,58.0,50.0,50.0
Bulgaria,2002,57.1,50.0,35.0,N/A,68.3,49.6,N/A,55.0,N/A,75.8,60.2,70.0,50.0
Burkina Faso,2002,58.8,30.0,30.0,N/A,65.9,78.1,N/A,55.0,N/A,89.4,61.0,70.0,50.0
